date	bg	snp
1-Sep-09	100	100
30-Sep-09	103.96	103.73
31-Oct-09	102.98	101.8
30-Nov-09	107.25	107.91
31-Dec-09	108.48	110
31-Jan-10	106.62	106.04
28-Feb-10	110.53	109.32
31-Mar-10	116.14	115.92
30-Apr-10	118.32	117.75
31-May-10	109.12	108.35
30-Jun-10	102.43	102.68
31-Jul-10	108.63	109.87
31-Aug-10	102.86	104.91
30-Sep-10	111.56	114.27
31-Oct-10	116.57	118.62
30-Nov-10	115.83	118.64
31-Dec-10	121.26	126.56
31-Jan-11	123.23	129.56
28-Feb-11	126.87	134
31-Mar-11	128.04	134.06
30-Apr-11	137.66	138.03
31-May-11	138.06	136.46
30-Jun-11	136.46	134.19
31-Jul-11	133.45	131.46
31-Aug-11	129.47	124.32
30-Sep-11	121.82	115.58
31-Oct-11	136.31	128.21
30-Nov-11	137.79	127.93
31-Dec-11	138.57	129.24
31-Jan-12	147.76	135.03
29-Feb-12	153.58	140.87
31-Mar-12	159.38	145.5
30-Apr-12	159.33	144.59
31-May-12	154.02	135.9
30-Jun-12	158	141.5
31-Jul-12	159.51	143.47
31-Aug-12	161.13	146.7
30-Sep-12	162.77	150.49
31-Oct-12	159.24	147.7
30-Nov-12	160.57	148.57
31-Dec-12	162.68	149.92
31-Jan-13	173.77	157.68
28-Feb-13	177.53	159.83
31-Mar-13	184.74	165.82
30-Apr-13	189.7	169.01
31-May-13	195.6	172.97
30-Jun-13	193.24	170.64
31-Jul-13	203.97	179.33
31-Aug-13	197.19	174.13
30-Sep-13	205.51	179.6
31-Oct-13	211.72	187.85
30-Nov-13	218.17	193.58
31-Dec-13	224.41	198.48
31-Jan-14	215.85	191.61
28-Feb-14	232.68	200.38
31-Mar-14	231.66	202.06
30-Apr-14	229.36	203.56
31-May-14	235.42	208.34
30-Jun-14	238.48	212.64
31-Jul-14	233.54	209.71
31-Aug-14	245.92	218.1
30-Sep-14	242.7	215.04
31-Oct-14	250.42	220.29
30-Nov-14	260.68	226.21
31-Dec-14	263.34	225.64
31-Jan-15	260.35	218.87
28-Feb-15	273.7	231.45
31-Mar-15	273.35	227.79
30-Apr-15	267.8	229.97
31-May-15	271.14	232.93
30-Jun-15	268.62	228.42
31-Jul-15	276.96	233.21
31-Aug-15	260.57	219.14
30-Sep-15	256.56	213.72
31-Oct-15	274.53	231.74
30-Nov-15	276.62	232.43
31-Dec-15	273.47	228.77
31-Jan-16	259.63	217.41
29-Feb-16	262.2	217.12
31-Mar-16	275	231.85
30-Apr-16	272.8	232.75
31-May-16	269.31	236.93
30-Jun-16	268.78	237.54
31-Jul-16	277.23	246.3
31-Aug-16	276.83	246.65
30-Sep-16	271.9	246.69
31-Oct-16	265.62	242.19
30-Nov-16	273.5	251.16
31-Dec-16	278.1	256.13
31-Jan-17	288.28	260.98
28-Feb-17	295.44	271.35
31-Mar-17	296.99	271.66
30-Apr-17	303.25	274.45
31-May-17	303.99	278.32
30-Jun-17	302.76	280.05
